Sign In	Sign In	POST	{{base_url}}/Auth/signin
Refresh Token	Refresh Token	POST	{{base_url}}/Auth/refresh
Revoke Token	Revoke Token	POST	{{base_url}}/Auth/revoke
Change Password	Change Password	PUT	{{base_url}}/Auth/change-password
Set Password (Invite)	Set Password (Invite)	POST	{{base_url}}/Auth/set-password
Get My Profile	Get My Profile	GET	{{base_url}}/Users/me
Get All Users	Get All Users	GET	{{base_url}}/Users?page=1&pageSize=20
Get User By ID	Get User By ID	GET	{{base_url}}/Users/{{user_id}}
Create User	Create User	POST	{{base_url}}/Users
Update User	Update User	PUT	{{base_url}}/Users/{{user_id}}
Deactivate User	Deactivate User	DELETE	{{base_url}}/Users/{{user_id}}
Approve User	Approve User	PUT	{{base_url}}/Users/{{user_id}}/approve
Update Notification Preferences	Update Notification Preferences	PUT	{{base_url}}/Users/{{user_id}}/notifications
Resend Invite	Resend Invite	POST	{{base_url}}/Users/{{user_id}}/resend-invite
Get All Warehouses	Get All Warehouses	GET	{{base_url}}/Warehouses
Get Warehouse By ID	Get Warehouse By ID	GET	{{base_url}}/Warehouses/{{warehouse_id}}
Create Warehouse	Create Warehouse	POST	{{base_url}}/Warehouses
Update Warehouse	Update Warehouse	PUT	{{base_url}}/Warehouses/{{warehouse_id}}
Delete Warehouse	Delete Warehouse	DELETE	{{base_url}}/Warehouses/{{warehouse_id}}
Get Zones	Get Zones	GET	{{base_url}}/Warehouses/{{warehouse_id}}/zones
Create Zone	Create Zone	POST	{{base_url}}/Warehouses/{{warehouse_id}}/zones
Update Zone	Update Zone	PUT	{{base_url}}/Warehouses/zones/{{zone_id}}
Delete Zone	Delete Zone	DELETE	{{base_url}}/Warehouses/zones/{{zone_id}}
Get Bins	Get Bins	GET	{{base_url}}/Warehouses/zones/{{zone_id}}/bins
Create Bin	Create Bin	POST	{{base_url}}/Warehouses/zones/{{zone_id}}/bins
Update Bin	Update Bin	PUT	{{base_url}}/Warehouses/bins/{{bin_id}}
Delete Bin	Delete Bin	DELETE	{{base_url}}/Warehouses/bins/{{bin_id}}
Get Warehouse Users	Get Warehouse Users	GET	{{base_url}}/Warehouses/{{warehouse_id}}/users
Assign User Access	Assign User Access	POST	{{base_url}}/Warehouses/{{warehouse_id}}/users
Revoke User Access	Revoke User Access	DELETE	{{base_url}}/Warehouses/access/<accessId>
Get Putaway Suggestion	Get Putaway Suggestion	GET	{{base_url}}/Warehouses/{{warehouse_id}}/putaway-suggestion?productId={{product_id}}
Get All Categories	Get All Categories	GET	{{base_url}}/Categories
Get Category Tree	Get Category Tree	GET	{{base_url}}/Categories/tree
Get Category By ID	Get Category By ID	GET	{{base_url}}/Categories/{{category_id}}
Create Category	Create Category	POST	{{base_url}}/Categories
Update Category	Update Category	PUT	{{base_url}}/Categories/{{category_id}}
Delete Category	Delete Category	DELETE	{{base_url}}/Categories/{{category_id}}
Get All Products	Get All Products	GET	{{base_url}}/Products?page=1&pageSize=20
Search Products (Dynamic)	Search Products (Dynamic)	POST	{{base_url}}/Products/search
Get Product By ID	Get Product By ID	GET	{{base_url}}/Products/{{product_id}}
Create Product	Create Product	POST	{{base_url}}/Products
Update Product	Update Product	PUT	{{base_url}}/Products/{{product_id}}
Delete Product	Delete Product	DELETE	{{base_url}}/Products/{{product_id}}
Get Low Stock Products	Get Low Stock Products	GET	{{base_url}}/Products/low-stock?warehouseId={{warehouse_id}}
Get EOQ	Get EOQ	GET	{{base_url}}/Products/{{product_id}}/eoq?warehouseId={{warehouse_id}}
Get ABC Classification	Get ABC Classification	GET	{{base_url}}/Products/abc-classification?warehouseId={{warehouse_id}}
Trigger ABC Update	Trigger ABC Update	POST	{{base_url}}/Products/{{warehouse_id}}/update-abc
Get All Suppliers	Get All Suppliers	GET	{{base_url}}/Suppliers
